archipelagos_paleo_area,ka16_lambeck,ka16_cutler,k0_PIAC,k0_nature
Aldabra,966.586076,942.990252,114.608288,180
Azores,3600.221175,3424.22235,2358.78885,2387
Canaries,11988.69395,11650.49516,7797.444732,7493
Cape_Verde,8220.12788,7965.998864,3992.046096,4033
Comoros,4795.91669,4713.963798,2198.511766,2033
Galapagos,11604.38461,5224.782708,7985.349984,7880
SaoTome_Principe,2705.942208,2648.678112,1082.889696,964
Hawaii,21629.71399,21248.79927,16999.51956,16624.6
Seychelles,39250.71555,39123.6409,393.16385,242.68
Juan_Fernandez,215.425056,198.305184,125.545728,99.67
Madeira,1502.697504,1417.184076,854.403396,798
Selvagens,38.005968,35.813316,3.65442,2.73
Guam_Marianas,1481.1469,1434.37384,1080.70386,852
Marquesas,1842.812464,1758.357264,1230.512264,1063
Mauritius_Island,2865.94269,2816.15607,1915.98186,1865
Reunion,2816.95908,2797.68684,2535.10257,2512
Rodrigues,1141.88022,1096.91166,128.4816,109
Pitcairn,110.75077,108.410965,63.174735,42.8
Society,2649.71736,2599.830706,1812.275824,1577.8
Socorro,290.616244,281.711568,158.665136,132
Samoa,5007.29441,2743.54008,3167.42036,3041
Gough,138.819375,117.359375,81.81625,91
Tristan_da_Cunha,219.965,209.905625,134.125,115.4
