"island","archipelago","ka0","ka1","ka2","ka3","ka4","ka5","ka6","ka7","ka8","ka9","ka10","ka11","ka12","ka13","ka14","ka15","ka16","ka17","ka18","ka19","ka20","ka21","ka22","ka23","ka24","ka25","ka26","ka27","ka28","ka29","ka30","ka31","ka32","ka33","ka34","ka35"
"Aldabra","Aldabra",96.0687120000058,96.0687120000058,96.0687120000058,100.282252000006,100.282252000006,117.136412000006,185.395760000007,194.665548000007,462.646692000004,482.871684000004,536.804996000004,565.457067999999,573.04144,580.625812000002,589.895600000002,600.008096000004,615.176840000003,620.233088000003,619.390380000003,621.918504000003,623.603920000003,623.603920000003,623.603920000003,623.603920000003,623.603920000003,623.603920000003,623.603920000003,623.603920000003,622.761212000003,621.918504000003,614.334132000003,587.367476000002,583.153936000002,582.311228000002,580.625812000002,578.097688000001
"Assumption","Aldabra",11.7979119999998,11.7979119999998,11.7979119999998,11.7979119999998,11.7979119999998,14.326036,17.6968679999996,17.6968679999996,18.5395759999998,26.1239480000011,27.8093640000019,37.0791520000017,40.4499840000017,52.247896000003,53.933312000003,56.4614360000032,60.6749760000036,64.0458080000038,64.0458080000038,66.5739320000039,66.5739320000039,66.5739320000039,66.5739320000039,66.5739320000039,66.5739320000039,66.5739320000039,66.5739320000039,66.5739320000039,66.5739320000039,66.5739320000039,60.6749760000036,53.933312000003,53.090604000003,53.090604000003,52.247896000003,45.5062320000024
"Astove","Aldabra",3.37083199999979,3.37083199999979,3.37083199999979,3.37083199999979,3.37083199999979,3.37083199999979,3.37083199999979,3.37083199999979,31.1801960000049,33.7083200000056,40.4499840000058,42.9781080000058,43.820816000006,45.506232000006,48.877064000006,50.562480000006,53.0906040000069,53.9333120000069,53.0906040000069,54.7760200000067,55.6187280000067,55.6187280000067,55.6187280000067,55.6187280000067,55.6187280000067,55.6187280000067,55.6187280000067,55.6187280000067,54.7760200000067,54.7760200000067,52.2478960000069,48.877064000006,48.034356000006,47.191648000006,45.506232000006,45.506232000006
"Cosmoledo","Aldabra",3.3708319999985,3.3708319999985,3.3708319999985,4.21353999999764,4.21353999999764,7.584371999997,145.788484000002,154.215564000001,166.013476000001,182.867635999998,195.508255999997,208.148875999997,209.834291999997,214.890539999995,224.160327999996,232.587407999995,237.643655999996,239.329071999996,239.329071999996,242.699903999996,244.385319999996,245.228027999996,245.228027999996,244.385319999996,244.385319999996,244.385319999996,244.385319999996,243.542611999996,242.699903999996,242.699903999996,237.643655999996,223.317619999995,220.789495999995,218.261371999995,212.362415999996,210.676999999997
"Corvo","Azores",21.578400000003,21.578400000003,21.578400000003,21.578400000003,21.578400000003,21.578400000003,22.2527250000034,22.2527250000034,22.2527250000034,24.9500250000009,31.0189499999994,35.0648999999983,37.762199999996,41.8081499999965,46.5284249999966,49.2257249999989,53.2716750000003,55.2946499999987,55.2946499999987,55.2946499999987,57.3176249999985,57.9919499999983,57.3176249999985,57.3176249999985,57.3176249999985,56.6432999999978,56.6432999999978,55.9689749999985,55.2946499999987,55.2946499999987,53.2716750000003,45.8540999999966,45.1797749999964,42.4824749999965,41.8081499999965,39.1108499999958
"Faial","Azores",173.301525,173.301525,173.301525,173.97585,173.97585,174.650175,175.324500000001,175.998825000001,181.393425000001,188.811000000003,196.228575000003,204.994800000003,208.366425000001,217.132650000001,739.060199999995,753.221024999987,773.450774999986,780.868349999985,780.194024999985,786.937274999986,799.749449999993,801.098099999993,800.423774999993,799.749449999993,799.749449999993,798.400799999993,797.052149999992,795.703499999991,794.354849999989,786.937274999986,772.102124999987,222.52725,217.806975000001,217.132650000001,215.109675,213.086700000001
"Flores","Azores",152.397449999997,152.397449999997,152.397449999997,153.071774999997,153.071774999997,153.071774999997,154.420424999999,155.094749999999,162.512324999998,170.604224999997,182.067749999999,201.623174999996,209.715074999997,228.596174999996,258.266474999998,285.239475000004,316.258425000009,326.37330000001,325.698975000009,334.465200000009,345.928725000009,348.626025000008,346.603050000009,345.928725000009,345.254400000009,344.580075000008,339.859800000007,339.185475000007,336.488175000008,334.465200000009,314.909775000009,249.500249999994,244.105649999995,237.362399999997,227.247524999996,222.527249999997
"Graciosa","Azores",60.0149249999978,60.0149249999978,60.0149249999978,60.0149249999978,60.0149249999978,60.0149249999978,60.0149249999978,60.6892499999978,67.4324999999958,75.5243999999976,83.6162999999995,89.6852250000015,92.3825250000017,94.4055000000028,109.914975000004,124.075800000003,140.933925,150.374475000001,149.70015,150.374475000001,155.769075000001,160.489350000001,157.117725000002,155.769075000001,154.420425,154.420425,153.071775,153.071775,153.071775,150.374475000001,139.585275000001,106.543350000002,101.148750000003,97.1028000000026,93.7311750000026,93.7311750000026
"Pico","Azores",430.893674999992,430.893674999992,430.893674999992,430.893674999992,430.893674999992,431.567999999991,431.567999999991,432.916649999991,443.031524999992,451.79774999999,465.958574999987,472.701824999986,483.49102499999,492.257249999995,739.060199999995,753.221024999987,773.450774999986,780.868349999985,780.194024999985,786.937274999986,799.749449999993,801.098099999993,800.423774999993,799.749449999993,799.749449999993,798.400799999993,797.052149999992,795.703499999991,794.354849999989,786.937274999986,772.102124999987,507.766724999998,503.046449999998,499.674824999997,491.582924999995,489.559949999994
"Santa Maria","Azores",112.612274999999,112.612274999999,112.612274999999,112.612274999999,112.612274999999,113.286599999999,113.286599999999,113.286599999999,115.309574999999,122.72715,130.144725000002,144.979875,159.140700000002,165.209625000001,175.998825,187.462350000002,205.669125000004,212.412375000005,211.738050000005,214.435350000004,216.458325000004,216.458325000004,216.458325000004,216.458325000004,215.784000000005,215.784000000005,215.109675000004,215.109675000004,215.109675000004,214.435350000004,205.669125000004,173.97585,172.6272,167.232600000001,165.209625000001,163.186650000002
