island,archipelago,ka0,ka1,ka2,ka3,ka4,ka5,ka6,ka7,ka8,ka9,ka10,ka11,ka12,ka13,ka14,ka15,ka16,ka17,ka18,ka19,ka20,ka21,ka22,ka23,ka24,ka25,ka26,ka27,ka28,ka29,ka30,ka31,ka32,ka33,ka34,ka35
Bird,Inner Seychelles,0.85285,0.85285,0.85285,0.85285,0.85285,0.85285,69.08085,89.54925,237.94515,328.34725,2138.9478,33353.2578,38409.80545,38691.24595,38939.4253,39102.31965,39250.71555,39312.9736,39308.70935,39412.75705,39459.6638,39478.4265,39468.1923,39459.6638,39456.2524,39450.28245,39440.9011,39430.6669,39421.28555,39412.75705,39244.7456,38889.10715,38820.0263,38761.17965,38664.8076,38600.84385
Curieuse,Inner Seychelles,64.8166,64.8166,64.8166,67.37515,67.37515,70.78655,79.31505,83.5793,117.6933,324.93585,2908.2185,33353.2578,38409.80545,38691.24595,38939.4253,39102.31965,39250.71555,39312.9736,39308.70935,39412.75705,39459.6638,39478.4265,39468.1923,39459.6638,39456.2524,39450.28245,39440.9011,39430.6669,39421.28555,39412.75705,39244.7456,38889.10715,38820.0263,38761.17965,38664.8076,38600.84385
Denis,Inner Seychelles,1.7057,1.7057,1.7057,1.7057,1.7057,1.7057,1.7057,1.7057,3.4114,532.1784,807.64895,33353.2578,38409.80545,38691.24595,38939.4253,39102.31965,39250.71555,39312.9736,39308.70935,39412.75705,39459.6638,39478.4265,39468.1923,39459.6638,39456.2524,39450.28245,39440.9011,39430.6669,39421.28555,39412.75705,39244.7456,38889.10715,38820.0263,38761.17965,38664.8076,38600.84385
Felicite,Inner Seychelles,5.96995,5.96995,5.96995,6.8228,6.8228,9.38135,30.7026,34.114,57.14095,324.93585,2908.2185,33353.2578,38409.80545,38691.24595,38939.4253,39102.31965,39250.71555,39312.9736,39308.70935,39412.75705,39459.6638,39478.4265,39468.1923,39459.6638,39456.2524,39450.28245,39440.9011,39430.6669,39421.28555,39412.75705,39244.7456,38889.10715,38820.0263,38761.17965,38664.8076,38600.84385
Fregate,Inner Seychelles,5.1171,5.1171,5.1171,6.8228,6.8228,6.8228,6.8228,6.8228,11.08705,43.49535,139.01455,33353.2578,38409.80545,38691.24595,38939.4253,39102.31965,39250.71555,39312.9736,39308.70935,39412.75705,39459.6638,39478.4265,39468.1923,39459.6638,39456.2524,39450.28245,39440.9011,39430.6669,39421.28555,39412.75705,39244.7456,38889.10715,38820.0263,38761.17965,38664.8076,38600.84385
La Digue,Inner Seychelles,16.20415,16.20415,16.20415,17.057,17.057,17.90985,30.7026,34.114,57.14095,324.93585,2908.2185,33353.2578,38409.80545,38691.24595,38939.4253,39102.31965,39250.71555,39312.9736,39308.70935,39412.75705,39459.6638,39478.4265,39468.1923,39459.6638,39456.2524,39450.28245,39440.9011,39430.6669,39421.28555,39412.75705,39244.7456,38889.10715,38820.0263,38761.17965,38664.8076,38600.84385
Mahe,Inner Seychelles,200.41975,200.41975,200.41975,202.9783,202.9783,206.3897,209.8011,216.6239,255.00215,328.34725,2908.2185,33353.2578,38409.80545,38691.24595,38939.4253,39102.31965,39250.71555,39312.9736,39308.70935,39412.75705,39459.6638,39478.4265,39468.1923,39459.6638,39456.2524,39450.28245,39440.9011,39430.6669,39421.28555,39412.75705,39244.7456,38889.10715,38820.0263,38761.17965,38664.8076,38600.84385
North,Inner Seychelles,4.26425,4.26425,4.26425,5.1171,5.1171,5.96995,7.67565,7.67565,156.07155,324.93585,1086.5309,33353.2578,38409.80545,38691.24595,38939.4253,39102.31965,39250.71555,39312.9736,39308.70935,39412.75705,39459.6638,39478.4265,39468.1923,39459.6638,39456.2524,39450.28245,39440.9011,39430.6669,39421.28555,39412.75705,39244.7456,38889.10715,38820.0263,38761.17965,38664.8076,38600.84385
Praslin,Inner Seychelles,64.8166,64.8166,64.8166,67.37515,67.37515,70.78655,79.31505,83.5793,117.6933,324.93585,2908.2185,33353.2578,38409.80545,38691.24595,38939.4253,39102.31965,39250.71555,39312.9736,39308.70935,39412.75705,39459.6638,39478.4265,39468.1923,39459.6638,39456.2524,39450.28245,39440.9011,39430.6669,39421.28555,39412.75705,39244.7456,38889.10715,38820.0263,38761.17965,38664.8076,38600.84385
Silhouette,Inner Seychelles,28.9969,28.9969,28.9969,28.9969,28.9969,28.9969,28.9969,28.9969,33.26115,34.96685,1086.5309,33353.2578,38409.80545,38691.24595,38939.4253,39102.31965,39250.71555,39312.9736,39308.70935,39412.75705,39459.6638,39478.4265,39468.1923,39459.6638,39456.2524,39450.28245,39440.9011,39430.6669,39421.28555,39412.75705,39244.7456,38889.10715,38820.0263,38761.17965,38664.8076,38600.84385
