source	model	lambda_c0	y	mu_0	x	K_0	z	gamma_0	alpha	lambda_a0	beta	d_0	d0_col	d0_ana	loglik
nature_paper	1	0.02458082	0.249048623	1.873481978	0.144732202	1.15E-13	8.40752988	51.37169005	0.253672853	0.047121375	0.415792458	NA	NA	NA	-3658.251091
nature_paper	2	0.024054784	0.248468396	1.813976228	0.143364993	1.51E-14	8.979164799	50.15729776	0.253041584	0.728374172	0	NA	NA	NA	-3667.532509
nature_paper	3	0.022538686	0.254383126	1.860108727	0.14686714	6592484.03	0	49.918233	0.252156001	0.725929563	0	NA	NA	NA	-3668.084859
nature_paper	4	0.022136668	0.256578981	1.854667233	0.146371854	Inf	0	49.98499224	0.2522851	0.726196468	0	NA	NA	NA	-3668.084084
nature_paper	5	0.497660716	6.44E-08	3.002405619	0.148976093	Inf	0	66.31944869	0.252821671	0	0	NA	NA	NA	-3752.619545
nature_paper	6	0.497634846	0	3.002967305	0.149001793	Inf	0	66.33237874	0.252842463	0	0	NA	NA	NA	-3752.619538
nature_paper	7	0.19508926	0	2.641945706	0.19189887	Inf	0	49.10175501	0.245920606	0.680691596	0	NA	NA	NA	-3675.180647
nature_paper	8	0.024863492	0.24230966	1.788060721	0.142688091	Inf	0	9.041146446	0	0.722408919	0	NA	NA	NA	-3683.932622
nature_paper	9	0.200970609	0	2.688151828	0.191493047	Inf	0	50.29777943	0.247050789	0.037877148	0.437535582	NA	NA	NA	-3666.071996
nature_paper	10	0.496721742	0	2.914888702	0.145676659	Inf	0	11.98259531	0	0	0	NA	NA	NA	-3768.621058
nature_paper	11	0.193710558	0	2.543718841	0.1881944	Inf	0	9.260320583	0	0.67988353	0	NA	NA	NA	-3690.563843
nature_paper	12	0.005002682	0.45984504	0.630899356	0	Inf	0	8.111194214	0	0.705484964	0	NA	NA	NA	-3706.837076
nature_paper	13	0.1995453	0	2.587953789	0.187748319	Inf	0	9.410873716	0	0.038772882	0.433811728	NA	NA	NA	-3681.575863
nature_paper	14	0.022855497	0.25660816	1.883953317	0.145535595	Inf	0	51.30334878	0.253543515	0.04575358	0.419283398	NA	NA	NA	-3658.712834
nature_paper	15	0.007951965	0.187671122	1.941817408	0.150335703	Inf	0	67.65042126	0.294709181	0.060217958	0.38001451	0.230507532	NA	NA	-3653.857709
nature_paper	16	0.040175311	2.44E-05	1.943105105	0.150292772	Inf	0	67.50223238	0.294234762	0.058653105	0.383724061	0.026476858	NA	NA	-3653.315005
nature_paper	17	0.048771069	0.115815694	2.006401331	0.155590876	Inf	0	67.28515564	0.293800525	0.056721559	0.388807115	42764.54233	NA	NA	-3651.674973
nature_paper	18	0.044482	0.131239491	1.964307344	0.152492061	Inf	0	63.77251059	0.285957655	0.055792869	0.391094448	42566.78354	NA	NA	-3651.802543
nature_paper	19	0.040073803	0	1.945656546	0.150429656	Inf	0	67.25643672	0.293635061	0.059096872	0.382688527	0.026510781	NA	NA	-3653.314923
nature_paper	20	0.024618833	0.249067412	1.857326229	0.143703034	3.51E-14	8.742290962	108.3523478	0.278205335	0.047035938	0.415886972	0.171983283	NA	NA	-3658.428164
nature_paper	21	0.02331205	0.256583871	1.852062615	0.142703277	3.82E-13	8.068418701	51.51255566	0.253924213	1.072581717	1.698294174	293.6387414	NA	NA	-3657.339067
nature_paper	22	8.684021681	0.306198641	2.333422972	0.174440983	0.005972177	1.572484389	71.47821821	0.301472716	0.063603263	0.369288985	226425342.4	NA	NA	-3656.682073
nature_paper	23	0.024351182	0.250388257	1.762736872	0.137430396	3.87E-07	4.531396402	18.38818015	6.04E-06	1.06967443	1.653109929	NA	7.19E-11	294.5464051	-3673.505074
nature_paper	24	0.022804693	0.252915984	1.884981484	0.148462088	Inf	0	314.6525467	0.260596889	0.726087223	0	0.001203371	NA	NA	-3668.148011
nature_paper	25	0.02128242	0.265759703	1.868444599	0.144045042	Inf	0	51.68391421	0.254465412	1.080322818	1.630203865	299.3882631	NA	NA	-3657.90509
nature_paper	26	38.36103945	0.347547961	2.443593336	0.181915095	Inf	0	72.68234925	0.304785009	0.689209458	0	4657685167	NA	NA	-3664.847793
nature_paper	27	0.024042303	0.250671294	1.804647824	0.140640541	Inf	0	9.206356854	3.166597816	1.079114951	1.59058586	NA	1.14E-04	300.8094786	-3673.931801
nature_paper	28	0.200599042	0	2.687777646	0.191632967	Inf	0	50.29605269	0.247164298	1.194203176	1.13598182	421.9512819	NA	NA	-3665.886122
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
