archipelagos_paleo_area,ka16_lambeck,ka16_cutler
Aldabra,966.586076,942.990252
Azores,3600.221175,3424.22235
Balearic,12921.03825,11906.8812
California Channel,3831.8511,3372.831
Canaries,11988.69395,11650.49516
Cape Verde,8220.12788,7965.998864
Comoros,4795.91669,4713.963798
Cook,455.30667,448.88259
Crozet,2581.13703,1114.622496
Dutch Caribbean,1353.23784,1304.788584
Galapagos,10987.01424,4723.860576
Gough,138.819375,117.359375
Gulf of Guinea,130.767264,111.10944
Hawaii,21629.71399,21248.79927
Inner Seychelles,39250.71555,39123.6409
Juan Fernandez,215.425056,198.305184
Kuriles,52350.17286,48658.52941
Madeira,1502.697504,1417.184076
Marianas,1481.1469,1434.37384
Marquesas,1842.812464,1758.357264
Mauritius,2865.94269,2816.15607
Phoenix,163.746432,150.100896
Pitcairn,110.75077,108.410965
Prince Edward,421.75133,411.723676
Reunion,2816.95908,2797.68684
Revillagigedo,64.76128,63.951764
Rodrigues,1141.88022,1096.91166
Samoa,5007.29441,2743.54008
SaoTome_Principe,2705.942208,2648.678112
Selvagens,38.005968,35.813316
Society,2649.71736,2599.830706
Socorro,290.616244,281.711568
Tristan da Cunha,219.965,209.905625
