"","year_before_after_present","sea_level_m","curve_name","archipelago_name","area_km_ref","NW_LAT","NW_LON","SE_LAT","SE_LON","area_km"
"1",0,0,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,51.9066608978633
"2",1000,-1,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,52.9703720387372
"3",2000,-2,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,53.1831200581325
"4",3000,-3,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,54.0340991160443
"5",4000,-3,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,54.0340991160443
"6",5000,-3,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,54.0340991160443
"7",6000,-4,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,55.9487499763342
"8",7000,-4,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,55.9487499763342
"9",8000,-11,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,61.4799487897695
"10",9000,-24,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,76.1590700015475
"11",10000,-38,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,90.625329911448
"12",11000,-52,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,102.751212454103
"13",12000,-65,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,117.855144257576
"14",13000,-76,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,141.25489941459
"15",14000,-85,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,151.04047666627
"16",15000,-93,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,159.549691116097
"17",16000,-102,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,175.716933651909
"18",17000,-109,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,190.819836818241
"19",18000,-116,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,200.605318827405
"20",19000,-121,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,204.859847971635
"21",20000,-123,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,206.561670268898
"22",21000,-122,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,205.923488919483
"23",22000,-118,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,202.307101857413
"24",23000,-112,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,195.499797812738
"25",24000,-105,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,181.460377047839
"26",25000,-98,"Cutler","Cocos_Costa_Rica",0.055121377620027,5.633816,-87.235783,5.435653,-86.923311,167.846220452576
