"curve","year","ind","values","area_km","area_km_e","archipelago"
0,0,"AP0000000",493868342.170095,493.868342170095,16025.3572319192,"Aldabra_Group"
-1,-1000,"AP0000001",505251149.031177,505.251149031177,16025.3572319192,"Aldabra_Group"
-2,-2000,"AP0000002",518948348.975249,518.948348975249,16025.3572319192,"Aldabra_Group"
-3,-3000,"AP0000003",741217432.964901,741.217432964901,16025.3572319192,"Aldabra_Group"
-3,-4000,"AP0000003",741217432.964901,741.217432964901,16025.3572319192,"Aldabra_Group"
-3,-5000,"AP0000003",741217432.964901,741.217432964901,16025.3572319192,"Aldabra_Group"
-4,-6000,"AP0000004",747120451.376162,747.120451376162,16025.3572319192,"Aldabra_Group"
-4,-7000,"AP0000004",747120451.376162,747.120451376162,16025.3572319192,"Aldabra_Group"
-11,-8000,"AP0000005",784014734.934037,784.014734934037,16025.3572319192,"Aldabra_Group"
-24,-9000,"AP0000006",839255304.931108,839.255304931108,16025.3572319192,"Aldabra_Group"
-38,-10000,"AP0000007",864125051.047222,864.125051047222,16025.3572319192,"Aldabra_Group"
-52,-11000,"AP0000008",889419419.838377,889.419419838376,16025.3572319192,"Aldabra_Group"
-65,-12000,"AP0000009",910918052.050926,910.918052050926,16025.3572319192,"Aldabra_Group"
-76,-13000,"AP0000010",922722235.70522,922.72223570522,16025.3572319192,"Aldabra_Group"
-85,-14000,"AP0000011",934316152.843972,934.316152843972,16025.3572319192,"Aldabra_Group"
-93,-15000,"AP0000012",943169067.624351,943.169067624351,16025.3572319192,"Aldabra_Group"
-102,-16000,"AP0000013",953493928.71457,953.49392871457,16025.3572319192,"Aldabra_Group"
-109,-17000,"AP0000014",962765752.248058,962.765752248058,16025.3572319192,"Aldabra_Group"
-116,-18000,"AP0000015",971828697.1441,971.8286971441,16025.3572319192,"Aldabra_Group"
-121,-19000,"AP0000016",980049538.033296,980.049538033296,16025.3572319192,"Aldabra_Group"
-123,-20000,"AP0000017",984477316.471503,984.477316471503,16025.3572319192,"Aldabra_Group"
-122,-21000,"AP0000018",982579966.158177,982.579966158177,16025.3572319192,"Aldabra_Group"
-118,-22000,"AP0000019",974779904.864397,974.779904864397,16025.3572319192,"Aldabra_Group"
-112,-23000,"AP0000020",966769567.713729,966.769567713729,16025.3572319192,"Aldabra_Group"
-105,-24000,"AP0000021",956234148.344239,956.234148344239,16025.3572319192,"Aldabra_Group"
-98,-25000,"AP0000022",949911146.387233,949.911146387233,16025.3572319192,"Aldabra_Group"
-93,-26000,"AP0000012",943169067.624351,943.169067624351,16025.3572319192,"Aldabra_Group"
-90,-27000,"AP0000023",938953688.365112,938.953688365112,16025.3572319192,"Aldabra_Group"
