"curve","year","ind","values","area_km","area_km_e","archipelago"
0,0,"AP0000000",25953187.1626481,25.9531871626481,354.192556055571,"Cocos_Costa_Rica"
-1,-1000,"AP0000001",26165907.4907327,26.1659074907327,354.192556055571,"Cocos_Costa_Rica"
-2,-2000,"AP0000002",26378630.7834011,26.3786307834011,354.192556055571,"Cocos_Costa_Rica"
-3,-3000,"AP0000003",26378630.7834011,26.3786307834011,354.192556055571,"Cocos_Costa_Rica"
-3,-4000,"AP0000003",26378630.7834011,26.3786307834011,354.192556055571,"Cocos_Costa_Rica"
-3,-5000,"AP0000003",26378630.7834011,26.3786307834011,354.192556055571,"Cocos_Costa_Rica"
-4,-6000,"AP0000004",26591360.7465321,26.5913607465321,354.192556055571,"Cocos_Costa_Rica"
-4,-7000,"AP0000004",26591360.7465321,26.5913607465321,354.192556055571,"Cocos_Costa_Rica"
-11,-8000,"AP0000005",27229550.8427826,27.2295508427826,354.192556055571,"Cocos_Costa_Rica"
-24,-9000,"AP0000006",28080454.241851,28.080454241851,354.192556055571,"Cocos_Costa_Rica"
-38,-10000,"AP0000007",29782299.0035796,29.7822990035796,354.192556055571,"Cocos_Costa_Rica"
-52,-11000,"AP0000008",34462378.6679688,34.4623786679688,354.192556055571,"Cocos_Costa_Rica"
-65,-12000,"AP0000009",40631703.5973852,40.6317035973852,354.192556055571,"Cocos_Costa_Rica"
-76,-13000,"AP0000010",49141092.5000293,49.1410925000293,354.192556055571,"Cocos_Costa_Rica"
-85,-14000,"AP0000011",62330462.8163172,62.3304628163172,354.192556055571,"Cocos_Costa_Rica"
-93,-15000,"AP0000012",90622903.0880018,90.6229030880018,354.192556055571,"Cocos_Costa_Rica"
-102,-16000,"AP0000013",128062972.632935,128.062972632935,354.192556055571,"Cocos_Costa_Rica"
-109,-17000,"AP0000014",154228103.103316,154.228103103316,354.192556055571,"Cocos_Costa_Rica"
-116,-18000,"AP0000015",168055579.861938,168.055579861938,354.192556055571,"Cocos_Costa_Rica"
-121,-19000,"AP0000016",177203102.134377,177.203102134377,354.192556055571,"Cocos_Costa_Rica"
-123,-20000,"AP0000017",179968512.437584,179.968512437584,354.192556055571,"Cocos_Costa_Rica"
-122,-21000,"AP0000018",178479495.179619,178.479495179619,354.192556055571,"Cocos_Costa_Rica"
-118,-22000,"AP0000019",172523015.416474,172.523015416474,354.192556055571,"Cocos_Costa_Rica"
-112,-23000,"AP0000020",160397238.898812,160.397238898812,354.192556055571,"Cocos_Costa_Rica"
-105,-24000,"AP0000021",140613419.949543,140.613419949543,354.192556055571,"Cocos_Costa_Rica"
-98,-25000,"AP0000022",107003217.535825,107.003217535825,354.192556055571,"Cocos_Costa_Rica"
-93,-26000,"AP0000012",90622903.0880018,90.6229030880018,354.192556055571,"Cocos_Costa_Rica"
-90,-27000,"AP0000023",77859353.0494094,77.8593530494094,354.192556055571,"Cocos_Costa_Rica"
-87,-28000,"AP0000024",67648582.0149335,67.6485820149335,354.192556055571,"Cocos_Costa_Rica"
-84,-29000,"AP0000025",59352203.908349,59.352203908349,354.192556055571,"Cocos_Costa_Rica"
-81,-30000,"AP0000026",54459409.0224275,54.4594090224275,354.192556055571,"Cocos_Costa_Rica"
-79,-31000,"AP0000027",52332104.0836285,52.3321040836285,354.192556055571,"Cocos_Costa_Rica"
-76,-32000,"AP0000010",49141092.5000293,49.1410925000293,354.192556055571,"Cocos_Costa_Rica"
-75,-33000,"AP0000028",48290135.0213851,48.2901350213851,354.192556055571,"Cocos_Costa_Rica"
-73,-34000,"AP0000029",46588219.8048713,46.5882198048713,354.192556055571,"Cocos_Costa_Rica"
-72,-35000,"AP0000030",45524526.8618916,45.5245268618916,354.192556055571,"Cocos_Costa_Rica"
-72,-36000,"AP0000030",45524526.8618916,45.5245268618916,354.192556055571,"Cocos_Costa_Rica"
-72,-37000,"AP0000030",45524526.8618916,45.5245268618916,354.192556055571,"Cocos_Costa_Rica"
-72,-38000,"AP0000030",45524526.8618916,45.5245268618916,354.192556055571,"Cocos_Costa_Rica"
-74,-39000,"AP0000031",47439163.2141174,47.4391632141174,354.192556055571,"Cocos_Costa_Rica"
-76,-40000,"AP0000010",49141092.5000293,49.1410925000293,354.192556055571,"Cocos_Costa_Rica"
-78,-41000,"AP0000032",51055726.7515032,51.0557267515032,354.192556055571,"Cocos_Costa_Rica"
-80,-42000,"AP0000033",52970270.183221,52.970270183221,354.192556055571,"Cocos_Costa_Rica"
-82,-43000,"AP0000034",55310324.5798666,55.3103245798666,354.192556055571,"Cocos_Costa_Rica"
-84,-44000,"AP0000025",59352203.908349,59.352203908349,354.192556055571,"Cocos_Costa_Rica"
-85,-45000,"AP0000011",62330462.8163172,62.3304628163172,354.192556055571,"Cocos_Costa_Rica"
-86,-46000,"AP0000035",64670444.2052685,64.6704442052685,354.192556055571,"Cocos_Costa_Rica"
-86,-47000,"AP0000035",64670444.2052685,64.6704442052685,354.192556055571,"Cocos_Costa_Rica"
-86,-48000,"AP0000035",64670444.2052685,64.6704442052685,354.192556055571,"Cocos_Costa_Rica"
-86,-49000,"AP0000035",64670444.2052685,64.6704442052685,354.192556055571,"Cocos_Costa_Rica"
-86,-50000,"AP0000035",64670444.2052685,64.6704442052685,354.192556055571,"Cocos_Costa_Rica"
-86,-51000,"AP0000035",64670444.2052685,64.6704442052685,354.192556055571,"Cocos_Costa_Rica"
-85,-52000,"AP0000011",62330462.8163172,62.3304628163172,354.192556055571,"Cocos_Costa_Rica"
-85,-53000,"AP0000011",62330462.8163172,62.3304628163172,354.192556055571,"Cocos_Costa_Rica"
-85,-54000,"AP0000011",62330462.8163172,62.3304628163172,354.192556055571,"Cocos_Costa_Rica"
-84,-55000,"AP0000025",59352203.908349,59.352203908349,354.192556055571,"Cocos_Costa_Rica"
-83,-56000,"AP0000036",56161233.7977092,56.1612337977092,354.192556055571,"Cocos_Costa_Rica"
-82,-57000,"AP0000034",55310324.5798666,55.3103245798666,354.192556055571,"Cocos_Costa_Rica"
-80,-58000,"AP0000033",52970270.183221,52.970270183221,354.192556055571,"Cocos_Costa_Rica"
-79,-59000,"AP0000027",52332104.0836285,52.3321040836285,354.192556055571,"Cocos_Costa_Rica"
-78,-60000,"AP0000032",51055726.7515032,51.0557267515032,354.192556055571,"Cocos_Costa_Rica"
-77,-61000,"AP0000037",50417526.2637751,50.4175262637751,354.192556055571,"Cocos_Costa_Rica"
-77,-62000,"AP0000037",50417526.2637751,50.4175262637751,354.192556055571,"Cocos_Costa_Rica"
-77,-63000,"AP0000037",50417526.2637751,50.4175262637751,354.192556055571,"Cocos_Costa_Rica"
-78,-64000,"AP0000032",51055726.7515032,51.0557267515032,354.192556055571,"Cocos_Costa_Rica"
-79,-65000,"AP0000027",52332104.0836285,52.3321040836285,354.192556055571,"Cocos_Costa_Rica"
-81,-66000,"AP0000026",54459409.0224275,54.4594090224275,354.192556055571,"Cocos_Costa_Rica"
-82,-67000,"AP0000034",55310324.5798666,55.3103245798666,354.192556055571,"Cocos_Costa_Rica"
-82,-68000,"AP0000034",55310324.5798666,55.3103245798666,354.192556055571,"Cocos_Costa_Rica"
-81,-69000,"AP0000026",54459409.0224275,54.4594090224275,354.192556055571,"Cocos_Costa_Rica"
-80,-70000,"AP0000033",52970270.183221,52.970270183221,354.192556055571,"Cocos_Costa_Rica"
-81,-71000,"AP0000026",54459409.0224275,54.4594090224275,354.192556055571,"Cocos_Costa_Rica"
-83,-72000,"AP0000036",56161233.7977092,56.1612337977092,354.192556055571,"Cocos_Costa_Rica"
-72,-73000,"AP0000030",45524526.8618916,45.5245268618916,354.192556055571,"Cocos_Costa_Rica"
-48,-74000,"AP0000038",33824198.8017906,33.8241988017906,354.192556055571,"Cocos_Costa_Rica"
-29,-75000,"AP0000039",28505908.8675411,28.5059088675411,354.192556055571,"Cocos_Costa_Rica"
-20,-76000,"AP0000040",27867723.6441237,27.8677236441237,354.192556055571,"Cocos_Costa_Rica"
-17,-77000,"AP0000041",27442275.5982144,27.4422755982144,354.192556055571,"Cocos_Costa_Rica"
-15,-78000,"AP0000042",27442275.5982144,27.4422755982144,354.192556055571,"Cocos_Costa_Rica"
-14,-79000,"AP0000043",27229550.8427826,27.2295508427826,354.192556055571,"Cocos_Costa_Rica"
-13,-80000,"AP0000044",27229550.8427826,27.2295508427826,354.192556055571,"Cocos_Costa_Rica"
-12,-81000,"AP0000045",27229550.8427826,27.2295508427826,354.192556055571,"Cocos_Costa_Rica"
-12,-82000,"AP0000045",27229550.8427826,27.2295508427826,354.192556055571,"Cocos_Costa_Rica"
-13,-83000,"AP0000044",27229550.8427826,27.2295508427826,354.192556055571,"Cocos_Costa_Rica"
-15,-84000,"AP0000042",27442275.5982144,27.4422755982144,354.192556055571,"Cocos_Costa_Rica"
-19,-85000,"AP0000046",27867723.6441237,27.8677236441237,354.192556055571,"Cocos_Costa_Rica"
-26,-86000,"AP0000047",28080454.241851,28.080454241851,354.192556055571,"Cocos_Costa_Rica"
-34,-87000,"AP0000048",29144109.4033417,29.1441094033417,354.192556055571,"Cocos_Costa_Rica"
-43,-88000,"AP0000049",31271425.473272,31.271425473272,354.192556055571,"Cocos_Costa_Rica"
-49,-89000,"AP0000050",34036927.9411385,34.0369279411385,354.192556055571,"Cocos_Costa_Rica"
-52,-90000,"AP0000008",34462378.6679688,34.4623786679688,354.192556055571,"Cocos_Costa_Rica"
-54,-91000,"AP0000051",35313327.1742964,35.3133271742964,354.192556055571,"Cocos_Costa_Rica"
-55,-92000,"AP0000052",35526051.2165015,35.5260512165015,354.192556055571,"Cocos_Costa_Rica"
-55,-93000,"AP0000052",35526051.2165015,35.5260512165015,354.192556055571,"Cocos_Costa_Rica"
-56,-94000,"AP0000053",36802477.3800468,36.8024773800468,354.192556055571,"Cocos_Costa_Rica"
-54,-95000,"AP0000051",35313327.1742964,35.3133271742964,354.192556055571,"Cocos_Costa_Rica"
-46,-96000,"AP0000054",32547805.4847617,32.5478054847617,354.192556055571,"Cocos_Costa_Rica"
-35,-97000,"AP0000055",29144109.4033417,29.1441094033417,354.192556055571,"Cocos_Costa_Rica"
-24,-98000,"AP0000006",28080454.241851,28.080454241851,354.192556055571,"Cocos_Costa_Rica"
-16,-99000,"AP0000056",27442275.5982144,27.4422755982144,354.192556055571,"Cocos_Costa_Rica"
