"","age","model","seed","lambda_c0","y","mu_0","x","K_0","z","gamma_0","alpha","lambda_a0","beta","d_0","d0_col","d0_ana","loglik","df","conv","bic","bic_weights"
"1",1,"1",3,0.0271461379005883,0.234733028998925,2.3369196968677,0.166711915906922,1.75035077392286e-11,6.42860873681394,55.44021410154,0.260988938642839,0.0437818833311409,0.425832339696384,NA,NA,NA,-3656.64685332516,10,0,7400.75003010424,3.74248352989517e-07
"2",1,"2",16,0.0249660693247455,0.241270617533079,2.22677101765637,0.163442625566988,5.00364716277461e-13,7.17198306661486,53.5946145552613,0.259206025671592,0.724108499450069,0,NA,NA,NA,-3666.05067590193,9,0,7410.81204291238,2.44467751467314e-09
"3",1,"3",44,0.0238725524658522,0.245626568479039,2.27497965471469,0.166060854495894,1077751.31865803,0,53.666778721271,0.259123082090874,0.720081821706235,0,NA,NA,NA,-3666.54767544215,8,0,7403.06040964744,1.17887390481501e-07
"4",1,"4",51,0.0235451255986531,0.247011417292499,2.26750061174812,0.165745600677707,Inf,0,53.8105441563554,0.259623056556036,0.72015905804712,0,NA,NA,NA,-3666.54676650848,7,0,7394.31295943469,9.35302367058913e-06
"5",1,"5",61,0.497999360370451,2.63532055772546e-07,3.52632404210835,0.164186688132523,Inf,0,71.5896815201781,0.261281987036051,0,0,NA,NA,NA,-3749.43298697744,6,0,7551.33976802722,7.46472464206724e-40
"6",1,"6",76,0.498291243548796,0,3.52975448354926,0.164258130434005,Inf,0,71.5371372161499,0.261120171689112,0,0,NA,NA,NA,-3749.43289045385,5,0,7542.59394263465,5.91760054910328e-38
"7",1,"7",102,0.196243697048694,0,3.22142302327933,0.209934457185786,Inf,0,53.085726861702,0.25441209977189,0.679754590365098,0,NA,NA,NA,-3672.54830362785,6,0,7397.57040132805,1.8348793528371e-06
"8",1,"8",107,0.0263850784072839,0.233243838883546,2.17788647582344,0.161557516414695,Inf,0,9.26882689865578,0,0.717393565748616,0,NA,NA,NA,-3683.05344992593,6,0,7418.5806939242,5.02667081142666e-11
"9",1,"9",124,0.201877650003057,0,3.28293014942981,0.209775535223257,Inf,0,54.8388035965314,0.256733281164796,0.0363315404527269,0.443650919631196,NA,NA,NA,-3663.22455969324,7,0,7387.66854580423,0.000259279464496822
"10",1,"10",148,0.497978869823964,0,3.40763260163133,0.160206230887223,Inf,0,12.2237053111665,0,0,0,NA,NA,NA,-3766.16738251324,4,0,7567.31729440804,2.532433333368e-43
"11",1,"11",153,0.195052755175561,0,3.08229074564842,0.205384269821354,Inf,0,9.4573843552997,0,0.679671425537454,0,NA,NA,NA,-3688.66071280839,5,0,7421.04958734373,1.46273970668631e-11
"12",1,"12",173,0.00427734759343914,0.473452704745858,0.639770407179271,0,Inf,0,8.21919884093104,0,0.697898342008752,0,NA,NA,NA,-3708.49250344076,5,0,7460.71316860849,3.5672193304936e-20
"13",1,"13",192,0.200808207739349,0,3.14195727847647,0.205197240541933,Inf,0,9.61764399831518,0,0.0380406415680053,0.436749895404695,NA,NA,NA,-3679.59320517512,6,0,7411.66020442258,1.59972615790327e-09
